Video Name,Summary,Content Theme ,Content Style,Creator Presence,On Screen Text,Key Elements,Brand Safety,Brand Type,Brand Names,Transcript,Overall Score,Notes
Auto Repair.mp4,,,,,,,,,,,0,
Beauty 2.mp4,3,4,4,4,4,3,4,4,2,3,3.5,"• ""matte"" transcribed as ""marked""
• ""haus labs"" transcribed as ""huda labs"" - making assumptions
• Edited out phrases such as ""I love it""
• Everything between 1:00 to 1:17 is missing
• Key Video Elements not fully accurate - not clothing/fashion items or technology"
Beauty.mp4,1,4,2,4,4,4,1,4,4,3,3.1,"• ""blunt"" transcribed as ""blind""
• ""cuff"" transcribed as ""cough""
• These incorrects however are due to the it being music played instead of the creator speaking - where they may not always be clear with pronunciation
• Unable to identify that it was a transition video for Content Style
• Doesn't identify that some of the gestures are not family-friendly, for example the blunt and the lyrics abt cuffing"
Budget Travel.mp4,,,,,,,,,,,0,
Catching Food.mp4,3,2,4,4,4,3,4,4,4,3,3.5,"• Misses ""lets catch food"" in the beginning - changes to catching my food which is the onscreen text.
• ""Lionfish"" transcribed to ""hogfish"" instead
• Doesn't quite hit the right content theme or niche - perhaps we don't have enough categories to choose from. (e.g. hunting)
• I would say mostly correct for key video elements except for clothing/fashion items"
Coding Tutorials.mp4,,,,,,,,,,,,
DIY Craft.mp4,4,4,4,4,4,4,4,4,4,4,4,• Everything seems pretty accurate
Education.mp4,4,4,4,4,3,4,4,4,4,4,3.9,"• Occasional appearances may be more of an accurate ""amount of creator presence"" described"
Esport.mp4,4,4,4,4,3,3,4,2,2,4,3.4,"• While not mentioned, brands printed on gamer's clothing (e.g. Merc, Samsung, Odyssey)
• Not sure if on screen text is supposed to include the transcript or ??"
Fitness.mp4,,,,,,,,,,,0,
Food.mp4,,,,,,,,,,,0,
Gadget Review.mp4,,,,,,,,,,,0,
Hair Tutorial.mp4,,,,,,,,,,,0,
High Fashion.mp4,,,,,,,,,,,0,
Instrument Tutorials.mp4,,,,,,,,,,,0,
Jelly Bed.mp4,,,,,,,,,,,0,
Language Learning.mp4,,,,,,,,,,,0,
Luxury Travel.mp4,,,,,,,,,,,0,
Music Production.mp4,,,,,,,,,,,0,
Restaurant Visit 2.mp4,,,,,,,,,,,0,
Restaurant Visit.mp4,,,,,,,,,,,0,
Streetwear.mp4,,,,,,,,,,,0,
Yoga:Pilates.mp4,,,,,,,,,,,0,